Twitter Handle,Name,Sex,Birthdate,Announcement,Party,City of Residence,State of Residence,No. of Children
@sethmoulton,Seth Moulton,M,24-Oct-78,22-Apr-19,D,Salem,MA,1
@SenGillibrand,Kirsten Gillibrand,F,9-Dec-66,15-Jan-19,D,New York,NY,2
@Hickenlooper,John Hickenlooper,M,7-Feb-52,4-Mar-19,D,Denver,CO,1
@JohnDelaney,John Delaney,M,16-Apr-63,10-Aug-17,D,Chevy Chase,MD,4
@KamalaHarris,Kamala Harris,F,20-Oct-64,21-Jan-19,D,San Francisco,CA,0
@JoeBiden,Joe Biden,M,20-Nov-42,25-Apr-19,D,Wilmington,DE,4
@TimRyan,Tim Ryan,M,16-Jul-73,4-Apr-19,D,Howland,OH,1
@ewarren,Elizabeth Warren,F,22-Jun-49,9-Feb-19,D,Cambridge,MA,2
@realDonaldTrump,Donald Trump,M,14-Jun-46,,R,New York,NY,5
@JulianCastro,Julian Castro,M,16-Sep-74,12-Jan-19,D,San Antonio,TX,2
@BilldeBlasio,Bill de Blasio,M,8-May-61,16-May-19,D,New York,NY,2
@marwilliamson,Marianne Williamson,F,8-Jul-52,28-Jan-19,D,Houston ,TX,1
@BernieSanders,Bernie Sanders,M,8-Sep-41,19-Feb-19,D,Vermont,VT,4
@CoryBooker,Cory Booker,M,27-Apr-69,1-Feb-19,D,Newark,NJ,0
@mike_pence,Mike Pence,M,7-Jun-59,,R,Columbus,IN,3
@AndrewYang,Andrew Yang,M,13-Jan-75,6-Nov-17,D,New York,NY,2
@ericswalwell,Eric Swalwell,M,16-Nov-80,8-Apr-19,D,Pleasanton,CA,2
@MikeGravel,Mike Gravel,M,13-May-30,2-Apr-19,D,Burlingame,CA,2
@JayInslee,Jay Inslee,M,9-Feb-51,1-Mar-19,D,Olympia,WA,3
@GovernorBullock,Steve Bullock,M,11-Apr-66,14-May-19,D,Helena,MT,3
@MichaelBennet,Michael Bennet,M,28-Nov-64,2-May-19,D,Denver ,CO,3
@BetoORourke,Beto O'Rourke,M,26-Sep-72,14-Mar-19,D,El Paso,TX,3
@PeteButtigieg,Pete Buttigieg,M,19-Jan-82,23-Jan-19,D,South Bend,IN,0
@TulsiGabbard,Tulsi Gabbard,F,12-Apr-81,11-Jan-19,D,Honoluly,HI,0
@amyklobuchar,Amy Klobuchar,F,25-May-60,10-Feb-19,D,Minneapolis,MN,1
@WayneMessam,Wayne Messam,M,7-Jun-74,13-Mar-19,D,Miramar,FL,3
@GovBillWeld,Bill Weld,M,31-Jul-45,15-Apr-19,R,New York,NY,5
